id	title	url	phase	batch	base
P2598	[ZJOI2009] 狼和羊的故事	https://www.luogu.com.cn/problem/P2598	training1016094	N2-08	P2598 [ZJOI2009] 狼和羊的故事
P2774	方格取数问题	https://www.luogu.com.cn/problem/P2774	training1016094	N2-08	P2774 方格取数问题
P4126	[AHOI2009] 最小割	https://www.luogu.com.cn/problem/P4126	training1016094	N2-08	P4126 [AHOI2009] 最小割
P5039	[SHOI2010] 最小生成树	https://www.luogu.com.cn/problem/P5039	training1016094	N2-08	P5039 [SHOI2010] 最小生成树
P3749	[六省联考 2017] 寿司餐厅	https://www.luogu.com.cn/problem/P3749	training1016094	N2-08	P3749 [六省联考 2017] 寿司餐厅
P4897	【模板】最小割树（Gomory-Hu Tree）	https://www.luogu.com.cn/problem/P4897	training1016094	N2-09	P4897 【模板】最小割树（Gomory-Hu Tree）
P4001	[ICPC 2006 Beijing R] 狼抓兔子	https://www.luogu.com.cn/problem/P4001	training1016094	N2-09	P4001 [ICPC 2006 Beijing R] 狼抓兔子
P3381	【模板】最小费用最大流	https://www.luogu.com.cn/problem/P3381	training1016094	N2-09	P3381 【模板】最小费用最大流
P4452	[国家集训队] 航班安排	https://www.luogu.com.cn/problem/P4452	training1016094	N2-09	P4452 [国家集训队] 航班安排
P2045	方格取数加强版	https://www.luogu.com.cn/problem/P2045	training1016094	N2-09	P2045 方格取数加强版
P2050	[NOI2012] 美食节	https://www.luogu.com.cn/problem/P2050	training1016094	N2-09	P2050 [NOI2012] 美食节
P2053	[SCOI2007] 修车	https://www.luogu.com.cn/problem/P2053	training1016094	N2-09	P2053 [SCOI2007] 修车
P2604	[ZJOI2010] 网络扩容	https://www.luogu.com.cn/problem/P2604	training1016094	N2-09	P2604 [ZJOI2010] 网络扩容
P2770	航空路线问题	https://www.luogu.com.cn/problem/P2770	training1016094	N2-09	P2770 航空路线问题
P3159	[CQOI2012] 交换棋子	https://www.luogu.com.cn/problem/P3159	training1016094	N2-09	P3159 [CQOI2012] 交换棋子
P3356	火星探险问题	https://www.luogu.com.cn/problem/P3356	training1016094	N2-09	P3356 火星探险问题
P3358	最长 k 可重区间集问题	https://www.luogu.com.cn/problem/P3358	training1016094	N2-09	P3358 最长 k 可重区间集问题
P4013	数字梯形问题	https://www.luogu.com.cn/problem/P4013	training1016094	N2-10	P4013 数字梯形问题
P4015	运输问题	https://www.luogu.com.cn/problem/P4015	training1016094	N2-10	P4015 运输问题
P5331	[SNOI2019] 通信	https://www.luogu.com.cn/problem/P5331	training1016094	N2-10	P5331 [SNOI2019] 通信
